'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:02.995',-0.061,-1.127,-1.066,0.595,0.502,-1.097,0.144,0.170,0.458,0.124,-0.275,0.090,-0.304,-0.609,0.060
'0:02.996',-0.063,-1.128,-1.065,0.596,0.501,-1.097,0.144,0.166,0.458,0.124,-0.274,0.089,-0.302,-0.613,0.062
'0:02.997',-0.065,-1.127,-1.062,0.596,0.498,-1.094,0.143,0.166,0.458,0.122,-0.277,0.086,-0.305,-0.611,0.060
'0:02.998',-0.062,-1.125,-1.062,0.594,0.500,-1.094,0.142,0.169,0.460,0.126,-0.277,0.088,-0.304,-0.606,0.059
'0:02.999',-0.059,-1.121,-1.063,0.590,0.503,-1.093,0.145,0.171,0.460,0.126,-0.277,0.087,-0.305,-0.605,0.059
'0:03.000',-0.059,-1.119,-1.060,0.589,0.500,-1.089,0.148,0.168,0.458,0.126,-0.280,0.086,-0.308,-0.607,0.059
'0:03.001',-0.061,-1.121,-1.060,0.591,0.499,-1.090,0.146,0.169,0.459,0.124,-0.280,0.085,-0.309,-0.607,0.060
'0:03.002',-0.064,-1.121,-1.058,0.593,0.497,-1.089,0.143,0.165,0.454,0.120,-0.284,0.080,-0.312,-0.609,0.061
'0:03.003',-0.064,-1.121,-1.057,0.592,0.497,-1.089,0.147,0.166,0.456,0.120,-0.286,0.081,-0.314,-0.612,0.058
'0:03.004',-0.068,-1.125,-1.056,0.596,0.494,-1.091,0.147,0.166,0.458,0.118,-0.287,0.080,-0.314,-0.605,0.058
'0:03.005',-0.068,-1.124,-1.056,0.596,0.494,-1.090,0.143,0.165,0.455,0.116,-0.288,0.079,-0.313,-0.601,0.059
'0:03.006',-0.069,-1.127,-1.058,0.598,0.495,-1.093,0.143,0.167,0.456,0.118,-0.286,0.081,-0.312,-0.603,0.066
'0:03.007',-0.070,-1.125,-1.055,0.598,0.492,-1.091,0.142,0.164,0.454,0.117,-0.285,0.081,-0.311,-0.608,0.059
'0:03.008',-0.064,-1.119,-1.054,0.592,0.495,-1.087,0.144,0.165,0.456,0.117,-0.285,0.080,-0.313,-0.608,0.049
'0:03.009',-0.068,-1.127,-1.060,0.598,0.496,-1.093,0.145,0.165,0.455,0.118,-0.285,0.082,-0.314,-0.611,0.056
'0:03.010',-0.067,-1.127,-1.060,0.597,0.497,-1.094,0.146,0.165,0.454,0.117,-0.282,0.084,-0.314,-0.609,0.056
'0:03.011',-0.065,-1.125,-1.060,0.595,0.498,-1.093,0.147,0.167,0.458,0.118,-0.280,0.086,-0.312,-0.604,0.053
'0:03.012',-0.065,-1.127,-1.063,0.596,0.499,-1.095,0.147,0.167,0.457,0.118,-0.278,0.086,-0.310,-0.607,0.055
'0:03.013',-0.069,-1.131,-1.062,0.600,0.496,-1.097,0.148,0.166,0.455,0.117,-0.279,0.086,-0.311,-0.607,0.057
'0:03.014',-0.068,-1.131,-1.063,0.599,0.497,-1.097,0.149,0.168,0.457,0.120,-0.280,0.086,-0.310,-0.610,0.054
'0:03.015',-0.060,-1.128,-1.069,0.594,0.504,-1.099,0.150,0.172,0.459,0.124,-0.275,0.088,-0.307,-0.614,0.052
'0:03.016',-0.062,-1.131,-1.069,0.597,0.503,-1.100,0.149,0.171,0.460,0.122,-0.277,0.089,-0.307,-0.611,0.058
'0:03.017',-0.063,-1.133,-1.070,0.598,0.503,-1.101,0.150,0.170,0.459,0.119,-0.280,0.084,-0.310,-0.609,0.066
'0:03.018',-0.067,-1.133,-1.067,0.600,0.500,-1.100,0.151,0.170,0.459,0.118,-0.281,0.082,-0.312,-0.609,0.068
'0:03.019',-0.065,-1.129,-1.065,0.597,0.500,-1.097,0.149,0.169,0.459,0.120,-0.281,0.080,-0.311,-0.612,0.060
'0:03.020',-0.060,-1.126,-1.066,0.593,0.503,-1.096,0.148,0.171,0.459,0.118,-0.284,0.077,-0.314,-0.614,0.056
'0:03.021',-0.059,-1.121,-1.062,0.591,0.502,-1.092,0.148,0.171,0.457,0.117,-0.289,0.075,-0.317,-0.609,0.057
'0:03.022',-0.057,-1.122,-1.065,0.590,0.504,-1.093,0.149,0.172,0.457,0.117,-0.290,0.074,-0.318,-0.610,0.060
'0:03.023',-0.057,-1.125,-1.069,0.591,0.506,-1.097,0.149,0.172,0.460,0.116,-0.291,0.076,-0.318,-0.615,0.063
'0:03.024',-0.060,-1.124,-1.064,0.592,0.502,-1.095,0.145,0.170,0.459,0.114,-0.291,0.072,-0.318,-0.613,0.059
'0:03.025',-0.065,-1.125,-1.060,0.595,0.498,-1.093,0.147,0.169,0.457,0.112,-0.292,0.072,-0.318,-0.611,0.059
'0:03.026',-0.066,-1.133,-1.067,0.599,0.501,-1.100,0.151,0.172,0.459,0.113,-0.290,0.077,-0.320,-0.613,0.059
'0:03.027',-0.070,-1.137,-1.067,0.603,0.499,-1.102,0.149,0.172,0.458,0.114,-0.290,0.076,-0.322,-0.616,0.059
'0:03.028',-0.069,-1.134,-1.065,0.602,0.498,-1.099,0.145,0.170,0.458,0.114,-0.291,0.076,-0.318,-0.615,0.063
'0:03.029',-0.062,-1.129,-1.067,0.596,0.502,-1.099,0.145,0.171,0.459,0.115,-0.291,0.075,-0.314,-0.613,0.065
'0:03.030',-0.058,-1.123,-1.065,0.591,0.504,-1.095,0.149,0.173,0.460,0.116,-0.289,0.078,-0.313,-0.608,0.064
'0:03.031',-0.058,-1.124,-1.067,0.591,0.504,-1.095,0.148,0.172,0.459,0.115,-0.285,0.079,-0.314,-0.605,0.063
'0:03.032',-0.059,-1.127,-1.067,0.593,0.505,-1.097,0.147,0.171,0.459,0.116,-0.283,0.081,-0.313,-0.605,0.062
'0:03.033',-0.059,-1.125,-1.067,0.592,0.504,-1.097,0.148,0.172,0.460,0.118,-0.281,0.083,-0.310,-0.603,0.062
'0:03.034',-0.058,-1.123,-1.066,0.590,0.504,-1.095,0.150,0.172,0.460,0.117,-0.282,0.083,-0.311,-0.601,0.064
'0:03.035',-0.056,-1.123,-1.067,0.590,0.506,-1.095,0.151,0.175,0.463,0.120,-0.281,0.085,-0.311,-0.603,0.062
'0:03.036',-0.054,-1.125,-1.072,0.590,0.509,-1.099,0.151,0.178,0.466,0.122,-0.278,0.085,-0.309,-0.608,0.060
'0:03.037',-0.055,-1.127,-1.072,0.591,0.509,-1.100,0.153,0.176,0.463,0.120,-0.279,0.085,-0.310,-0.611,0.059
'0:03.038',-0.053,-1.128,-1.075,0.591,0.510,-1.101,0.152,0.176,0.465,0.121,-0.277,0.086,-0.307,-0.615,0.060
'0:03.039',-0.052,-1.130,-1.078,0.591,0.513,-1.104,0.149,0.178,0.467,0.123,-0.276,0.086,-0.306,-0.618,0.059
'0:03.040',-0.056,-1.133,-1.077,0.594,0.511,-1.105,0.152,0.177,0.465,0.119,-0.281,0.081,-0.312,-0.616,0.058
'0:03.041',-0.061,-1.135,-1.074,0.598,0.507,-1.105,0.152,0.177,0.464,0.117,-0.283,0.080,-0.314,-0.619,0.059
'0:03.042',-0.059,-1.136,-1.078,0.597,0.510,-1.107,0.154,0.179,0.467,0.121,-0.283,0.081,-0.315,-0.623,0.059
'0:03.043',-0.053,-1.135,-1.081,0.594,0.514,-1.107,0.154,0.179,0.466,0.119,-0.283,0.081,-0.315,-0.619,0.059
'0:03.044',-0.057,-1.137,-1.079,0.597,0.511,-1.108,0.149,0.177,0.465,0.117,-0.285,0.080,-0.315,-0.616,0.055
'0:03.045',-0.054,-1.131,-1.077,0.593,0.512,-1.105,0.150,0.179,0.468,0.119,-0.282,0.083,-0.308,-0.614,0.054
'0:03.046',-0.058,-1.127,-1.070,0.592,0.506,-1.099,0.151,0.179,0.468,0.119,-0.282,0.082,-0.310,-0.616,0.056
'0:03.047',-0.061,-1.132,-1.071,0.597,0.505,-1.101,0.152,0.178,0.466,0.117,-0.285,0.079,-0.318,-0.621,0.056
'0:03.048',-0.061,-1.135,-1.073,0.598,0.506,-1.105,0.151,0.178,0.465,0.116,-0.284,0.081,-0.317,-0.620,0.058
'0:03.049',-0.065,-1.139,-1.075,0.602,0.505,-1.107,0.153,0.178,0.467,0.114,-0.285,0.079,-0.319,-0.622,0.060
'0:03.050',-0.062,-1.141,-1.079,0.602,0.509,-1.111,0.154,0.177,0.466,0.113,-0.288,0.076,-0.321,-0.621,0.059
'0:03.051',-0.061,-1.141,-1.081,0.601,0.510,-1.111,0.151,0.176,0.464,0.111,-0.288,0.073,-0.320,-0.614,0.059
'0:03.052',-0.060,-1.141,-1.081,0.600,0.510,-1.111,0.148,0.176,0.463,0.111,-0.288,0.074,-0.320,-0.614,0.062
'0:03.053',-0.065,-1.142,-1.077,0.603,0.506,-1.109,0.149,0.178,0.462,0.110,-0.289,0.073,-0.321,-0.612,0.061
'0:03.054',-0.060,-1.137,-1.076,0.599,0.508,-1.106,0.153,0.178,0.465,0.112,-0.290,0.072,-0.321,-0.613,0.059
'0:03.055',-0.057,-1.137,-1.080,0.596,0.512,-1.109,0.154,0.179,0.465,0.113,-0.292,0.072,-0.321,-0.618,0.059
'0:03.056',-0.063,-1.141,-1.078,0.602,0.508,-1.109,0.156,0.181,0.463,0.112,-0.294,0.071,-0.322,-0.622,0.056
'0:03.057',-0.064,-1.144,-1.079,0.604,0.507,-1.111,0.159,0.180,0.465,0.112,-0.295,0.071,-0.323,-0.626,0.052
'0:03.058',-0.068,-1.145,-1.077,0.606,0.505,-1.111,0.160,0.184,0.466,0.113,-0.296,0.070,-0.326,-0.624,0.051
'0:03.059',-0.059,-1.138,-1.079,0.599,0.509,-1.109,0.154,0.184,0.466,0.115,-0.295,0.071,-0.323,-0.619,0.059
'0:03.060',-0.051,-1.133,-1.081,0.592,0.515,-1.107,0.153,0.181,0.464,0.114,-0.294,0.072,-0.321,-0.622,0.061
'0:03.061',-0.054,-1.132,-1.077,0.593,0.512,-1.105,0.156,0.182,0.464,0.114,-0.293,0.072,-0.321,-0.622,0.058
'0:03.062',-0.060,-1.139,-1.078,0.600,0.509,-1.108,0.155,0.182,0.464,0.115,-0.294,0.070,-0.323,-0.629,0.053
'0:03.063',-0.062,-1.143,-1.081,0.602,0.509,-1.111,0.153,0.183,0.464,0.114,-0.295,0.069,-0.324,-0.636,0.050
'0:03.064',-0.060,-1.140,-1.079,0.600,0.509,-1.109,0.155,0.183,0.466,0.114,-0.293,0.072,-0.321,-0.634,0.048
'0:03.065',-0.064,-1.139,-1.075,0.601,0.506,-1.107,0.156,0.182,0.466,0.113,-0.293,0.072,-0.321,-0.628,0.051
'0:03.066',-0.060,-1.135,-1.075,0.598,0.507,-1.105,0.150,0.181,0.465,0.113,-0.293,0.070,-0.320,-0.622,0.052
'0:03.067',-0.057,-1.139,-1.082,0.597,0.513,-1.110,0.150,0.183,0.468,0.116,-0.292,0.070,-0.320,-0.625,0.052
'0:03.068',-0.059,-1.147,-1.088,0.604,0.514,-1.118,0.152,0.186,0.470,0.116,-0.292,0.071,-0.322,-0.625,0.057
'0:03.069',-0.065,-1.149,-1.085,0.607,0.510,-1.117,0.153,0.183,0.467,0.114,-0.292,0.070,-0.323,-0.627,0.059
'0:03.070',-0.067,-1.151,-1.083,0.609,0.508,-1.117,0.157,0.182,0.464,0.114,-0.290,0.071,-0.323,-0.627,0.057
'0:03.071',-0.065,-1.153,-1.088,0.609,0.512,-1.121,0.158,0.185,0.469,0.116,-0.288,0.075,-0.320,-0.625,0.057
'0:03.072',-0.059,-1.147,-1.087,0.603,0.514,-1.117,0.155,0.185,0.469,0.116,-0.287,0.075,-0.316,-0.623,0.061
'0:03.073',-0.060,-1.147,-1.087,0.604,0.513,-1.117,0.155,0.187,0.469,0.117,-0.289,0.076,-0.317,-0.623,0.062
'0:03.074',-0.064,-1.152,-1.088,0.608,0.512,-1.120,0.159,0.188,0.470,0.119,-0.291,0.075,-0.321,-0.629,0.058
'0:03.075',-0.065,-1.152,-1.087,0.609,0.511,-1.120,0.160,0.187,0.469,0.119,-0.292,0.074,-0.324,-0.632,0.053
'0:03.076',-0.067,-1.156,-1.090,0.611,0.512,-1.123,0.158,0.187,0.470,0.118,-0.294,0.076,-0.321,-0.630,0.057
'0:03.077',-0.068,-1.161,-1.093,0.614,0.512,-1.127,0.154,0.188,0.470,0.117,-0.295,0.074,-0.320,-0.630,0.065
'0:03.078',-0.070,-1.163,-1.093,0.617,0.511,-1.129,0.153,0.189,0.469,0.117,-0.296,0.073,-0.321,-0.636,0.065
'0:03.079',-0.061,-1.157,-1.095,0.609,0.517,-1.126,0.158,0.189,0.470,0.118,-0.293,0.074,-0.319,-0.636,0.062
'0:03.080',-0.058,-1.149,-1.091,0.603,0.516,-1.120,0.160,0.190,0.470,0.117,-0.294,0.073,-0.319,-0.634,0.059
'0:03.081',-0.061,-1.149,-1.088,0.606,0.513,-1.119,0.159,0.189,0.468,0.115,-0.296,0.071,-0.322,-0.633,0.052
'0:03.082',-0.057,-1.150,-1.093,0.603,0.518,-1.122,0.158,0.193,0.469,0.117,-0.293,0.072,-0.318,-0.633,0.051
'0:03.083',-0.060,-1.153,-1.092,0.607,0.516,-1.123,0.155,0.190,0.468,0.116,-0.296,0.070,-0.319,-0.634,0.059
'0:03.084',-0.064,-1.153,-1.089,0.608,0.513,-1.121,0.152,0.185,0.465,0.110,-0.300,0.067,-0.323,-0.627,0.065
'0:03.085',-0.054,-1.147,-1.094,0.601,0.520,-1.121,0.151,0.187,0.466,0.108,-0.301,0.068,-0.320,-0.620,0.065
'0:03.086',-0.053,-1.145,-1.091,0.599,0.519,-1.118,0.152,0.187,0.467,0.108,-0.302,0.067,-0.322,-0.622,0.064
'0:03.087',-0.059,-1.145,-1.087,0.602,0.514,-1.116,0.154,0.188,0.467,0.110,-0.302,0.066,-0.324,-0.625,0.063
'0:03.088',-0.063,-1.149,-1.085,0.606,0.511,-1.117,0.158,0.186,0.466,0.108,-0.306,0.064,-0.327,-0.629,0.059
'0:03.089',-0.068,-1.153,-1.085,0.610,0.508,-1.119,0.159,0.185,0.466,0.108,-0.309,0.062,-0.328,-0.639,0.055
'0:03.090',-0.069,-1.155,-1.087,0.612,0.509,-1.121,0.157,0.188,0.467,0.110,-0.309,0.063,-0.326,-0.640,0.054
'0:03.091',-0.074,-1.161,-1.087,0.618,0.506,-1.124,0.155,0.185,0.466,0.107,-0.308,0.063,-0.327,-0.626,0.062
'0:03.092',-0.073,-1.162,-1.089,0.618,0.508,-1.125,0.156,0.184,0.467,0.107,-0.310,0.061,-0.327,-0.624,0.065
'0:03.093',-0.066,-1.157,-1.091,0.611,0.513,-1.124,0.155,0.186,0.468,0.107,-0.312,0.062,-0.327,-0.635,0.057
'0:03.094',-0.067,-1.159,-1.092,0.613,0.513,-1.125,0.154,0.188,0.469,0.108,-0.312,0.062,-0.327,-0.643,0.060
'0:03.095',-0.065,-1.157,-1.092,0.611,0.513,-1.125,0.156,0.188,0.469,0.111,-0.309,0.064,-0.327,-0.640,0.063
'0:03.096',-0.066,-1.157,-1.091,0.611,0.513,-1.125,0.160,0.190,0.469,0.113,-0.306,0.066,-0.328,-0.636,0.060
'0:03.097',-0.067,-1.163,-1.095,0.615,0.514,-1.129,0.162,0.189,0.469,0.111,-0.309,0.063,-0.330,-0.639,0.061
'0:03.098',-0.062,-1.161,-1.099,0.612,0.518,-1.130,0.160,0.190,0.470,0.113,-0.305,0.066,-0.328,-0.636,0.061
'0:03.099',-0.062,-1.163,-1.101,0.612,0.519,-1.131,0.157,0.188,0.467,0.114,-0.306,0.065,-0.330,-0.640,0.059
'0:03.100',-0.061,-1.163,-1.101,0.612,0.520,-1.131,0.158,0.186,0.467,0.112,-0.310,0.062,-0.332,-0.639,0.062
'0:03.101',-0.056,-1.161,-1.105,0.608,0.525,-1.133,0.159,0.189,0.468,0.113,-0.309,0.065,-0.329,-0.638,0.063
'0:03.102',-0.060,-1.166,-1.106,0.613,0.523,-1.136,0.159,0.188,0.467,0.113,-0.314,0.062,-0.330,-0.646,0.060
'0:03.103',-0.066,-1.170,-1.105,0.618,0.519,-1.137,0.160,0.188,0.463,0.111,-0.317,0.058,-0.333,-0.649,0.059
'0:03.104',-0.058,-1.165,-1.107,0.611,0.525,-1.136,0.155,0.186,0.462,0.110,-0.315,0.059,-0.330,-0.648,0.059
'0:03.105',-0.058,-1.167,-1.109,0.612,0.526,-1.138,0.153,0.184,0.463,0.107,-0.316,0.058,-0.329,-0.645,0.058
'0:03.106',-0.060,-1.169,-1.109,0.615,0.525,-1.139,0.159,0.186,0.465,0.108,-0.317,0.060,-0.333,-0.647,0.056
'0:03.107',-0.064,-1.167,-1.103,0.616,0.520,-1.135,0.162,0.188,0.465,0.110,-0.315,0.061,-0.334,-0.648,0.059
'0:03.108',-0.063,-1.171,-1.107,0.617,0.522,-1.139,0.160,0.186,0.462,0.105,-0.317,0.059,-0.334,-0.651,0.060
'0:03.109',-0.060,-1.173,-1.113,0.617,0.526,-1.143,0.159,0.183,0.461,0.105,-0.317,0.058,-0.333,-0.652,0.060
'0:03.110',-0.060,-1.173,-1.113,0.616,0.526,-1.143,0.159,0.184,0.462,0.105,-0.314,0.058,-0.331,-0.651,0.062
'0:03.111',-0.059,-1.173,-1.113,0.616,0.527,-1.143,0.159,0.183,0.461,0.103,-0.313,0.059,-0.330,-0.645,0.065
'0:03.112',-0.066,-1.175,-1.109,0.620,0.522,-1.141,0.156,0.179,0.456,0.100,-0.315,0.058,-0.331,-0.639,0.070
'0:03.113',-0.065,-1.176,-1.111,0.621,0.522,-1.143,0.158,0.181,0.457,0.100,-0.312,0.059,-0.330,-0.643,0.069
'0:03.114',-0.064,-1.176,-1.112,0.620,0.524,-1.144,0.163,0.185,0.461,0.105,-0.309,0.062,-0.329,-0.646,0.066
'0:03.115',-0.065,-1.179,-1.114,0.621,0.525,-1.146,0.161,0.185,0.459,0.106,-0.312,0.059,-0.332,-0.649,0.066
'0:03.116',-0.065,-1.181,-1.115,0.623,0.525,-1.148,0.161,0.186,0.460,0.105,-0.311,0.058,-0.331,-0.653,0.067
'0:03.117',-0.066,-1.181,-1.115,0.623,0.524,-1.147,0.157,0.182,0.457,0.102,-0.310,0.058,-0.331,-0.656,0.067
'0:03.118',-0.064,-1.175,-1.111,0.620,0.523,-1.143,0.158,0.181,0.457,0.102,-0.310,0.058,-0.331,-0.652,0.064
'0:03.119',-0.062,-1.173,-1.111,0.618,0.524,-1.141,0.162,0.184,0.459,0.103,-0.310,0.058,-0.332,-0.644,0.062
'0:03.120',-0.064,-1.175,-1.111,0.619,0.524,-1.143,0.157,0.179,0.454,0.100,-0.311,0.053,-0.337,-0.646,0.061
'0:03.121',-0.064,-1.173,-1.109,0.618,0.522,-1.141,0.161,0.179,0.454,0.101,-0.312,0.055,-0.336,-0.654,0.062
'0:03.122',-0.058,-1.169,-1.111,0.613,0.526,-1.139,0.164,0.182,0.455,0.101,-0.312,0.057,-0.335,-0.655,0.065
'0:03.123',-0.056,-1.167,-1.111,0.611,0.528,-1.139,0.162,0.181,0.454,0.102,-0.311,0.057,-0.333,-0.654,0.064
'0:03.124',-0.058,-1.172,-1.113,0.615,0.528,-1.143,0.159,0.178,0.452,0.100,-0.315,0.052,-0.335,-0.652,0.061
'0:03.125',-0.060,-1.175,-1.115,0.617,0.528,-1.145,0.158,0.177,0.450,0.097,-0.319,0.051,-0.334,-0.654,0.059
'0:03.126',-0.062,-1.177,-1.115,0.620,0.526,-1.146,0.160,0.179,0.451,0.098,-0.319,0.052,-0.335,-0.656,0.060
'0:03.127',-0.061,-1.177,-1.115,0.619,0.527,-1.147,0.160,0.182,0.453,0.100,-0.315,0.054,-0.332,-0.654,0.061
'0:03.128',-0.061,-1.173,-1.111,0.617,0.525,-1.142,0.158,0.177,0.451,0.096,-0.318,0.051,-0.332,-0.655,0.061
'0:03.129',-0.061,-1.173,-1.111,0.617,0.524,-1.141,0.156,0.175,0.448,0.092,-0.323,0.046,-0.337,-0.659,0.062
'0:03.130',-0.059,-1.175,-1.116,0.617,0.529,-1.145,0.159,0.179,0.451,0.096,-0.318,0.050,-0.335,-0.655,0.060
'0:03.131',-0.065,-1.182,-1.117,0.624,0.526,-1.149,0.159,0.176,0.451,0.096,-0.318,0.049,-0.336,-0.653,0.059
'0:03.132',-0.068,-1.183,-1.115,0.625,0.523,-1.149,0.158,0.175,0.448,0.093,-0.321,0.046,-0.338,-0.654,0.062
'0:03.133',-0.068,-1.183,-1.115,0.625,0.523,-1.149,0.161,0.174,0.446,0.092,-0.321,0.046,-0.340,-0.651,0.064
'0:03.134',-0.069,-1.183,-1.114,0.626,0.522,-1.149,0.165,0.174,0.449,0.096,-0.318,0.050,-0.342,-0.652,0.065
'0:03.135',-0.060,-1.179,-1.119,0.619,0.530,-1.149,0.163,0.179,0.452,0.098,-0.316,0.051,-0.340,-0.653,0.067
'0:03.136',-0.056,-1.179,-1.123,0.617,0.534,-1.151,0.160,0.179,0.451,0.099,-0.316,0.051,-0.337,-0.660,0.069
'0:03.137',-0.053,-1.179,-1.125,0.616,0.536,-1.152,0.161,0.176,0.448,0.097,-0.317,0.051,-0.338,-0.662,0.070
'0:03.138',-0.055,-1.180,-1.125,0.618,0.535,-1.153,0.162,0.177,0.450,0.096,-0.317,0.049,-0.342,-0.657,0.070
'0:03.139',-0.060,-1.179,-1.119,0.620,0.530,-1.150,0.162,0.179,0.451,0.098,-0.314,0.050,-0.342,-0.653,0.069
'0:03.140',-0.061,-1.175,-1.113,0.618,0.526,-1.144,0.165,0.179,0.451,0.098,-0.315,0.050,-0.345,-0.652,0.069
'0:03.141',-0.061,-1.173,-1.111,0.617,0.525,-1.142,0.164,0.174,0.447,0.096,-0.318,0.046,-0.350,-0.652,0.070
'0:03.142',-0.062,-1.176,-1.114,0.619,0.526,-1.145,0.165,0.177,0.447,0.097,-0.318,0.046,-0.347,-0.650,0.070
'0:03.143',-0.064,-1.179,-1.115,0.621,0.526,-1.147,0.166,0.177,0.446,0.096,-0.320,0.045,-0.348,-0.650,0.070
'0:03.144',-0.057,-1.179,-1.122,0.617,0.533,-1.150,0.164,0.173,0.442,0.090,-0.322,0.041,-0.349,-0.653,0.071
'0:03.145',-0.057,-1.181,-1.124,0.618,0.534,-1.153,0.163,0.173,0.442,0.087,-0.323,0.040,-0.349,-0.654,0.071
'0:03.146',-0.057,-1.177,-1.120,0.617,0.532,-1.149,0.159,0.172,0.443,0.089,-0.326,0.041,-0.349,-0.647,0.071
'0:03.147',-0.061,-1.177,-1.115,0.619,0.527,-1.146,0.164,0.174,0.445,0.089,-0.327,0.040,-0.350,-0.646,0.070
'0:03.148',-0.064,-1.180,-1.116,0.622,0.526,-1.148,0.160,0.173,0.443,0.087,-0.326,0.038,-0.351,-0.650,0.070
'0:03.149',-0.064,-1.179,-1.115,0.622,0.526,-1.147,0.157,0.173,0.442,0.088,-0.326,0.038,-0.351,-0.649,0.070
'0:03.150',-0.070,-1.181,-1.111,0.625,0.520,-1.145,0.164,0.173,0.440,0.084,-0.331,0.034,-0.355,-0.651,0.070
'0:03.151',-0.068,-1.181,-1.113,0.624,0.523,-1.147,0.162,0.170,0.437,0.078,-0.338,0.026,-0.359,-0.654,0.071
'0:03.152',-0.070,-1.186,-1.116,0.628,0.523,-1.151,0.161,0.166,0.435,0.076,-0.340,0.025,-0.360,-0.654,0.070
'0:03.153',-0.064,-1.185,-1.122,0.624,0.529,-1.153,0.160,0.167,0.436,0.077,-0.338,0.027,-0.359,-0.658,0.065
'0:03.154',-0.062,-1.185,-1.123,0.624,0.530,-1.154,0.164,0.172,0.440,0.082,-0.334,0.030,-0.356,-0.664,0.067
'0:03.155',-0.064,-1.185,-1.121,0.625,0.529,-1.153,0.166,0.172,0.440,0.083,-0.331,0.031,-0.356,-0.665,0.074
'0:03.156',-0.060,-1.181,-1.120,0.620,0.530,-1.151,0.165,0.170,0.439,0.081,-0.334,0.030,-0.357,-0.659,0.076
'0:03.157',-0.064,-1.182,-1.117,0.623,0.527,-1.150,0.166,0.169,0.438,0.079,-0.333,0.029,-0.358,-0.659,0.074
'0:03.158',-0.065,-1.185,-1.121,0.625,0.528,-1.153,0.165,0.169,0.436,0.079,-0.333,0.030,-0.355,-0.663,0.076
'0:03.159',-0.067,-1.188,-1.121,0.627,0.527,-1.154,0.166,0.169,0.435,0.079,-0.335,0.029,-0.357,-0.661,0.076
'0:03.160',-0.066,-1.182,-1.116,0.624,0.525,-1.149,0.164,0.168,0.435,0.078,-0.336,0.028,-0.360,-0.660,0.071
'0:03.161',-0.061,-1.179,-1.118,0.620,0.528,-1.149,0.165,0.169,0.438,0.080,-0.337,0.029,-0.358,-0.658,0.071
'0:03.162',-0.061,-1.181,-1.121,0.621,0.530,-1.151,0.166,0.170,0.439,0.080,-0.340,0.025,-0.361,-0.654,0.074
'0:03.163',-0.065,-1.181,-1.117,0.623,0.526,-1.149,0.166,0.168,0.438,0.079,-0.343,0.023,-0.365,-0.659,0.072
'0:03.164',-0.062,-1.179,-1.115,0.621,0.526,-1.147,0.164,0.167,0.435,0.075,-0.343,0.023,-0.363,-0.659,0.073
'0:03.165',-0.062,-1.179,-1.116,0.620,0.527,-1.147,0.162,0.165,0.432,0.072,-0.344,0.021,-0.364,-0.658,0.074
'0:03.166',-0.064,-1.184,-1.120,0.624,0.528,-1.152,0.164,0.167,0.432,0.074,-0.340,0.026,-0.363,-0.656,0.070
'0:03.167',-0.065,-1.187,-1.121,0.625,0.528,-1.155,0.164,0.167,0.432,0.075,-0.339,0.028,-0.361,-0.657,0.072
'0:03.168',-0.068,-1.188,-1.119,0.627,0.526,-1.153,0.162,0.164,0.430,0.072,-0.344,0.022,-0.365,-0.659,0.072
'0:03.169',-0.068,-1.188,-1.120,0.628,0.526,-1.154,0.158,0.164,0.429,0.071,-0.345,0.024,-0.364,-0.654,0.072
'0:03.170',-0.070,-1.188,-1.119,0.628,0.525,-1.153,0.166,0.168,0.432,0.073,-0.341,0.025,-0.362,-0.658,0.072
'0:03.171',-0.070,-1.188,-1.118,0.628,0.524,-1.153,0.168,0.167,0.432,0.074,-0.338,0.027,-0.361,-0.661,0.070
'0:03.172',-0.068,-1.188,-1.121,0.628,0.527,-1.155,0.165,0.165,0.431,0.074,-0.338,0.029,-0.360,-0.659,0.073
'0:03.173',-0.072,-1.190,-1.119,0.631,0.523,-1.155,0.163,0.163,0.429,0.072,-0.339,0.028,-0.359,-0.659,0.076
'0:03.174',-0.074,-1.188,-1.114,0.631,0.520,-1.151,0.159,0.160,0.425,0.070,-0.340,0.025,-0.364,-0.658,0.072
'0:03.175',-0.075,-1.188,-1.113,0.631,0.519,-1.151,0.168,0.164,0.427,0.071,-0.339,0.026,-0.368,-0.657,0.069
'0:03.176',-0.072,-1.188,-1.115,0.630,0.521,-1.151,0.169,0.164,0.429,0.074,-0.335,0.030,-0.362,-0.660,0.072
'0:03.177',-0.066,-1.185,-1.121,0.625,0.527,-1.153,0.166,0.165,0.431,0.077,-0.331,0.034,-0.358,-0.662,0.071
'0:03.178',-0.064,-1.188,-1.124,0.626,0.530,-1.157,0.167,0.169,0.433,0.079,-0.328,0.035,-0.357,-0.664,0.069
'0:03.179',-0.068,-1.190,-1.122,0.628,0.527,-1.155,0.165,0.168,0.432,0.078,-0.329,0.035,-0.358,-0.665,0.069
'0:03.180',-0.066,-1.187,-1.121,0.626,0.527,-1.153,0.164,0.163,0.430,0.076,-0.333,0.032,-0.360,-0.668,0.067
'0:03.181',-0.067,-1.187,-1.121,0.627,0.527,-1.154,0.167,0.162,0.430,0.076,-0.333,0.033,-0.362,-0.673,0.066
'0:03.182',-0.070,-1.190,-1.121,0.629,0.526,-1.155,0.170,0.168,0.432,0.080,-0.330,0.035,-0.361,-0.672,0.067
